-49,-1,0,1,0,-1,0,2,0,-1,1,0,0,
-58,-8,-1,0,1,1,2,1,2,3,2,1,0,
-60,-8,0,0,2,1,0,0,1,3,2,2,2,
-61,-8,0,1,1,0,1,1,2,3,2,1,1,
-60,-8,2,-1,1,1,1,2,1,1,3,3,1,
-63,-9,1,2,1,-1,1,1,3,4,2,1,1,
-61,-9,1,1,1,0,1,2,2,2,1,2,1,
-63,-9,3,1,1,2,2,1,1,1,0,0,2,
-63,-8,2,1,1,2,1,2,2,1,1,2,2,
-62,-9,1,1,1,2,2,2,2,2,1,0,1,
-60,-8,1,3,1,0,0,0,2,2,1,1,1,
-52,-7,4,3,1,3,1,2,1,0,-3,0,1,
-46,-15,1,2,-1,3,-1,2,2,1,-2,0,3,
-41,-19,-2,2,0,0,-1,4,1,1,-1,0,2,
-36,-23,-1,3,0,2,0,2,1,0,0,1,2,
-31,-24,1,3,-1,-1,0,2,0,0,2,0,2,
-28,-28,3,5,-3,0,1,2,1,0,1,1,1,
-32,-28,3,4,-2,3,1,-1,1,0,0,0,2,
-31,-27,2,4,-2,1,0,0,2,1,0,2,1,
-32,-27,3,3,-3,0,1,0,1,1,3,2,2,
-31,-26,2,4,-4,0,2,1,2,2,1,2,1,
-35,-18,0,6,-1,0,-1,0,1,-2,-3,1,3,
-27,-8,4,3,-1,-2,-3,0,-1,1,-1,-1,2,
-21,1,-4,2,-3,-2,-1,-3,3,0,0,-1,-1,
-22,2,-4,1,-3,-1,1,-3,1,1,2,-1,-4,
-24,2,-5,0,-4,-1,2,-3,0,2,1,-1,-4,
-28,3,-2,-1,-5,0,4,-2,-1,2,-1,0,-2,
-33,3,-1,-2,-5,0,5,-2,-1,2,0,0,-2,
-33,4,0,-1,-7,-2,7,-1,-2,0,0,1,-2,
-34,4,0,-1,-7,-1,7,-2,-1,0,0,1,-1,
-35,7,0,-4,-8,0,4,-1,-1,-1,0,2,-3,
-35,6,1,-4,-6,2,3,-3,0,1,0,1,-2,
-42,-1,-1,0,-3,1,4,-1,0,2,1,0,-3,
-26,3,-6,1,-5,-1,1,-3,1,1,2,-1,-4,
-24,1,-3,0,-3,-1,0,-2,1,1,0,0,-3,
-26,1,-3,1,-3,-1,-1,-3,2,2,0,-1,-2,
-23,0,-3,2,-3,-2,-1,-2,2,1,-1,0,-2,
-23,0,-3,4,-2,-2,-1,-2,2,0,-1,0,-1,
-25,0,-3,5,-2,-2,-2,-1,2,-1,-1,0,-1,
-26,0,-2,4,-2,-3,-2,-1,2,-1,-1,1,-1,
-28,1,-2,5,-2,-4,-2,-1,1,-1,0,2,-1,
-31,1,-1,6,-1,-4,-3,0,2,-1,-1,1,0,
-36,1,3,5,-1,-4,-2,1,2,-2,-1,1,0,
-41,0,3,5,-1,-2,-1,2,0,-3,1,1,0,
-44,-2,2,4,2,-2,-1,2,2,-1,0,1,0,
-46,-3,2,6,2,-2,-2,2,2,0,0,1,0,
-48,-4,0,3,0,-1,-2,1,2,0,1,1,1,
-51,-8,1,3,1,-1,-1,2,1,-1,0,0,1,
-53,-8,0,0,0,1,2,3,2,1,0,0,1,
-55,-4,2,2,3,0,2,3,2,0,0,1,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
-87,0,0,0,0,0,0,0,0,0,0,0,0,
